prompt,completion
"Left bundle-branch block, left bundle branch block",Block nhánh trái
Left circumflex artery (LCX),Động mạch mũ
Left ventricle concentric thickness,Thất trái dày đồng tâm
Left ventricular dysfunction,Rối loạn chức năng thất trái
Left ventricular failure,Suy thất trái
Left ventricular hypertrophy,Phì đại thất trái
"Leg oedema, leg swelling, leg edema",Phù chân
Legionella,Vi khuẩn Legionella
Leishmaniasis,Bệnh Leishmaniasis
Lenticular nucleus,Nhân bèo
Leptospirosis,Bệnh nhiễm trùng xoắn Leptospira
Lesion,Tổn thương
Lesser curvature,Góc bờ cong nhỏ
Lethargy,Li bì
Leukaemia,Bệnh bạch cầu cấp
Leukocyte,Bạch cầu
Leukocytosis,Tăng bạch cầu
Leukopenia,Giảm bạch cầu
Leukoplakia,Bạch sản
Leukotriene-receptor antagonist,Chất đối kháng thụ thể leukotriene
LFT (liver function tests),LFT (xét nghiệm chức năng gan)
Life-threatening,Đe dọa tính mạng
"Lightheadedness, dizziness",Chóng mặt
Lightheadness,Choáng váng
Lipid complex,Chất béo dạng phức hợp
Liver,Gan
Liver biopsy,Sinh thiết gan
Liver edges,Bờ gan
Liver enzymes,Men gan
Liver failure,Suy gan
Liver function tests,Xét nghiệm chức năng gan
Liver kidney microsome,Vi tiểu thể gan thận
Liver parenchyma,Nhu mô gan
Liver tissue,Mô gan
Liver transplant,Ghép gan
Lobar,Thùy
Lobar pneumonia,Viêm phổi thùy
Local anemia /Ischemia,Thiếu máu cục bộ
Local anesthesia,Gây tê tại chỗ
Local anesthetics,Thuốc tê
Local complication,Biến chứng tại chỗ
Local movement disorders,Rối loạn vận động vùng
Long-bone fractures,Gẫy xương dài
Long-term sequelae,Di chứng lâu dài
Lose of appetite,Ăn mất ngon
Low fiber,Chất xơ ít (thiếu chất xơ)
Low heart,Thấp tim
Low molecular weight heparin (LMWH),Heparin trọng lượng phân tử thấp
Lower gi bleeding,Xuất huyết tiêu hoá thấp
Low-grade fever,Sốt nhẹ
Lumbar puncture (LP),Chọc dịch não tuỷ
Lumbar spine,Cột sống thắt lưng
Luminal agent,Thuốc điều trị tại lòng ruột
Lung,Phổi
Lung consolidation,Đông đặc phổi
Lung fibrosis,Xơ hóa phổi
Lung field,Trường phổi
Lung hilum / Hila,Rốn phổi
Lupus nephritis,Viêm thận lupus
Lupus pernio lupus,Ban đỏ bán cấp
Lupus vulgaris,Lupus lao
Lyme disease,Bệnh lyme
Lymph node,Hạch bạch huyết
Lymphadenitis,Viêm hạch bạch huyết
Lymphadenopathy,Hạch to
Lymphangitis,Viêm bạch mạch
Lymphatic follicle,Nang lympho
Lymphocyte,Tế bào lympho
Lymphocytic,Thuộc tế bào lympho
"Lymphocytic leukemia, lymphocytic leukaemia",Bệnh bạch cầu cấp dòng lympho
Lymphocytosis,Tăng tế bào lympho
Lymphomas,U lympho
Lysis,Phân giải
Lytic,Phân giải
Macrocytic anaemia,Thiếu máu hồng cầu khổng lồ
Macrocytosis,Hồng cầu khổng lồ
Macro-description,Mô tả đại thể
Macrophages,Đại thực bào
Maculopapular,Ban sần
Main bile duct,Ống mật chủ
Main bone length of the nose,Chiều dài xương chính mũi
Maintenance therapy,Điều trị duy trì
Malabsorption,Chứng kém hấp thu
Malabsorption syndrome,Hội chứng kém hấp thu
Malaise,Tình trạng khó chịu
Malar rash,Ban đỏ dạng cánh bướm
Malaria,Bệnh sốt rét
Malignancies,Bệnh ác tính
Malignant,Ác tính
Malignant hypertension,Tăng huyết áp ác tính
Malignant or accelerated hypertension,Tăng huyết áp ác tính/ tăng huyết áp cơn
Malignant borderline tumor,U giáp biên ác
Malnutrition,Suy dinh dưỡng
Mammals,Động vật có vú
Management,Điều trị
Manifestation,Biểu hiện
March haematuria,Đái máu sau vận động nặng hoặc kéo dài
Marker,Chất chỉ điểm
Marker,Dấu ấn
Marrow,Tủy
Mass effect,Hiệu ứng khối
Masses,Khối
Master of science in clinical epidemiology (MSCE),Thạc sĩ dịch tễ học lâm sàng
Mean corpuscular volume (MCV),Thể tích trung bình hồng cầu
Measles,Sởi
Meckel’s diverticulum,Túi thừa Meckel
Mediastinal,Thuộc trung thất
Mediastinal crunching sound,Tiếng lạo xạo trung thất
Mediastinal fullness,Bóng mờ trung thất/ trung thất mở rộng
Mediastinal masses,Khối trung thất
Mediastinitis,Viêm trung thất
Mediastinum,Trung thất
Medical history,Bệnh sử
Medical treatment,Điều trị y tế
Medulla oblongata,Hành não
Megaloblastic,Nguyên hồng cầu khổng lồ
Megaloblastic macrocytic anaemia,Thiếu máu nguyên hồng cầu khổng lồ
Megaloblasts,Nguyên hồng cầu khổng lồ
Melaena,Phân đen
Memory impairment,Suy giảm trí nhớ
Memory t-cell,Tế bào t trí nhớ
Men who have sex with men,Nam đồng tính
Meninges,Màng não
Meningitis,Viêm màng não
Menorrhagia,Rong kinh
Mental retardation,Thiểu năng trí tuệ
Mental status,Trạng thái tinh thần
Mentzer’s index,Chỉ số Mentzer
Merozoite,Thể hoa thị
Mesangial proliferative glomerulonephritis,Viêm cầu thận tăng sinh gian mạch
Mesenteric inflammation,Viêm mạc treo
Mesenteric veins,Tĩnh mạch mạc treo
Metabolic acidosis,Nhiễm toan chuyển hoá
Metabolic disruption,Rối loạn chuyển hóa
Metabolic panel,Bảng chuyển hóa
Metacarpophalangeal,Xương bàn đốt ngón tay
Metastases,Di căn
Metastatic cancers,Ung thư di căn
Methylmalonic acid,Axit methylmalonic
mg/day,mg/ngày
mg/kg/day,mg/kg/ngày
Microangiopathic haemolytic anaemia,Thiếu máu tan máu bệnh lý vi mạch
Microbiology,Vi sinh học
Microcytic anaemia,Thiếu máu hồng cầu nhỏ
Micro-description,Mô tả vi thể
Microscopic haematuria,Đái máu vi thể
Microsurgery,Vi phẫu
Middle turbinate,Cuốn mũi giữa
Migraine with aura,Chứng đau nửa đầu có tiền triệu
Mild,Nhẹ
Mild disease,Bệnh nhẹ
Mild pneumonia,Viêm phổi nhẹ
Miliary,Quân sự
Military bases,Căn cứ quân sự
Ministry of Health,Bộ Y tế
Minor papilla,U nhú bé
Miscarriage,Sảy thai
Missed period,Trễ kinh
Mite,Mạt
Mitral annulus (MA),Vòng van hai lá
Mitral valve regurgitation,Hở van hai lá
Mixed infections,Nhiễm trùng phối hợp
Moderate,Trung bình
Moderate disease,Bệnh mức độ trung bình
Modifiable risk factors/diseases,Yếu tố nguy cơ/bệnh có thể thay đổi được
Monoamine oxidase inhibitors,Chất ức chế monoamine oxidase
Mononuclear,Đơn nhân
Mononucleosis,Bệnh tăng bạch cầu đơn nhân
Monospot test,Xét nghiệm đơn điểm
Monovalent vaccines,Vắc-xin đơn giá
Morbidity,Tỉ lệ mắc bệnh
Morbilliform,Dạng sởi
Morphological,Hình thái
Mortality,Tỷ lệ tử vong
Mortality rates,Tỷ lệ tử vong
Motility,Di động
Motor deficit,Khuyết tật vận động
Mottled skin,Da đồi mồi
Mould,Khuôn
MRI,Cộng hưởng từ
MRSA (methicillin-resistant staphylococcus aureus),MRSA (tụ cầu vàng kháng methicillin)
Mucinous,Tuyến bọc dịch
Mucocutaneous lesions,Các tổn thương niêm mạc
Mucosal thickening,Dày niêm mạc
Mucous,Niêm mạc
Mucous membranes,Niêm mạc
Multi-detector computed tomography (MDCT),Chụp cắt lớp vi tính đa dãy
Multifocal,Đa tiêu điểm
Multinucleated,Đa nhân
Multinucleated giant cells,Tế bào khổng lồ đa nhân
Multi-organ dysfunction,Rối loạn chức năng đa phủ tạng
Multi-organ failure,Suy đa phủ tạng
Multi-planar reformation,Tái tạo đa bình diện
Multiple sclerosis,Đa xơ cứng
Multiple sexual partners,Nhiều bạn tình
Mumps,Quai bị
Munchausen syndrome,Hội chứng Munchausen
Muscle pain,Đau cơ
Muscle tension,Căng cơ
Musculoskeletal pain,Đau cơ xương
Mutation,Đột biến
Myalgia,Chứng đau cơ
Myalgic encephalomyelitis,Hội chứng mệt mỏi mạn tính
Mycobacterial,Thuộc vi khuẩn mycobacterium
Mycobacterium tuberculosis,Trực khuẩn lao
Mycoplasma infections,Nhiễm mycoplasma
Mycoses,Bệnh nấm
Mycosis fungoides,U da dạng nấm
Mycrocytic anaemia,Thiếu máu hồng cầu nhỏ
Myelodysplastic syndrome,Hội chứng rối loạn sinh tuỷ
Myelogenous,Từ tủy xương
Myelogenous leukemia,Bệnh bạch cầu dòng tuỷ
Myeloma,Đa u tủy xương/bệnh Kaler
Myocardial infarction,Nhồi máu cơ tim
Myocardial infarction no ST elevation,Nhồi máu cơ tim không ST chênh lên
Myocardial ischemia,Thiếu máu cơ tim
Myotonic dystrophy,Loạn dưỡng cơ tăng trương lực
N antigen,Kháng nguyên N
Narrow pulse pressure,Huyết áp kẹt
Nasal congestion,Ngạt mũi
Nasal flaring,Cánh mũi phập phồng
Nasal wash,Rửa mũi
Nasopharyngeal,Mũi họng
National health and nutrition survey,Khảo sát sức khỏe và dinh dưỡng Quốc gia
National institute for health and care excellence,Viện y tế và chăm sóc Quốc gia
Native Americans,Người Mỹ bản địa
Natural killer (NK),Tế bào tiêu diệt tự nhiên
Nausea,Buồn nôn
Neck,Cổ
Neck mass,Khối ở cổ
Neck stiffness,Cứng gáy
Necrolysis,Hoại tử
Necrosis,Hoại tử
Necrotising fasciitis,Viêm cân mạc hoại tử
NECT,NECT
Needlestick injuries,Vết thương do kim đâm
Neonatal,"Sơ sinh, mới sinh"
Neonate,Trẻ sơ sinh
Nephritic syndrome,Hội chứng viêm thận
Nephrology service,Đơn nguyên thận
Nephrotic diseases,Bệnh thận hư
Nephrotic syndrome,Hội chứng thận hư
Net movement,Phần thay đổi thực
Netherton syndrome,Hội chứng netherton
Neuraminidase inhibitors,Chất ức chế neuraminidase
Neuroblastoma,U nguyên bào thần kinh
Neuroblastoma,Nguyên bào thần kinh
Neurofibromatosis,Bệnh u sợi thần kinh
Neurological,Thần kinh
Neurological complication,Biến chứng thần kinh
Neurological examination,Khám thần kinh
Neuropathy,Bệnh thần kinh
Neuropsychiatric,Tâm thần kinh
Neutropenia,Giảm bạch cầu trung tính
Neutrophil,Bạch cầu đa nhân trung tính
Neutrophilia,Tăng bạch cầu trung tính
Newborn,Sơ sinh
Nidus,Ổ bệnh
Night blindness,Chứng quáng gà
Night sweats,Đổ mồ hôi đêm
Nil by mouth,"Nhịn ăn, nhịn uống"
Nine hole peg test,Xét nghiệm chín giếng
No sign of localized movement disorder,Không dấu thần kinh khu trú
Nocturia,Chứng tiểu đêm
Nodes,Nút / nốt / hạch
Nodular,Thuộc bướu / u / cục
Nodule,Bướu / u / cục
Non-alcoholic fatty liver disease (NAFLD),Bệnh gan nhiễm mỡ không do rượu
Non-alcoholic steatohepatitis,Viêm gan nhiễm mỡ không do rượu
Non-ambulatory,Không phái cứu thương / không phải can thiệp trong ngày
Non-bulky,Không to
Non-californian,Không thuộc california
Non-cardiogenic pulmonary oedema,Phù phổi cấp tổn thương (phù phổi cấp không do nguyên nhân tim mạch)
Non-caseating,Hoại tử không đông đặc
Non-cytopathic,Không gây bệnh tế bào
None,Không có
Non-endemic area,Vùng không lưu hành dịch
Non-enveloped,Không có màng bao
Non-fermenting,Không lên men
Non-hodgkin’s lymphoma,Ung thư hạch bạch huyết không thuộc nhóm hodgkin
Non-inferiority trial,Thử nghiệm không kém hơn
Non-megaloblastic macrocytic anaemia,Thiếu máu hồng cầu khổng lồ không phải nguyên hồng cầu khổng lồ
Non-productive cough,Ho không có đờm
Non-rebreather mask,Mặt nạ không hít thở lại
Non-specific,Không đặc hiệu
Non-st-elevation myocardial infarction (NSTEMI),Nhồi máu cơ tim cấp st không chênh
Non-steroidal,Không chứa steroid
Non-steroidal anti-inflammatory drug (NSAID),Thuốc kháng viêm không steroid
Non-steroidal anti-inflammatory drugs,Thuốc kháng viêm không steroid
Non-structural,Phi cấu trúc
Non-tuberculous,Không phải bệnh lao
Normal saline,Muối sinh lý
Normocytic anaemia,Thiếu máu đẳng sắc
Notifiable disease,Bệnh cần khai báo
Notify,Thông báo
Nuchal traslucency (NT),Độ mờ da gáy
Nuclear imaging,Chụp hình ảnh hạt nhân
Nucleic acid amplification,Khuếch đại axit nucleic
Nucleic acid amplification techniques,Kỹ thuật khuếch đại axit nucleic
Nucleoside analogues,Nhóm thuốc kháng virus
Nucleotide sequence,Chuỗi nucleotide
Numbness,Tê cứng
Nurse,Điều dưỡng
Nursing home,Viện dưỡng lão
Nutcracker oesophagus,Thực quản Nutcracker
Nystagmus,Rung giật nhãn cầu
Obesity,Béo phì
Obligate,Bắt buộc
Observation,Quan sát
Observational study,Nghiên cứu quan sát
Obstructive sleep apnoea (OSA),Ngưng thở lúc ngủ do tắc nghẽn
Obtuse marginal (OM),Động mạch bờ
Occlusion,Sự tắc nghẽn
Occupational exposure,Phơi nhiễm nghề nghiệp
Occupational risk,Nguy cơ nghề nghiệp
Oculoglandular,Viêm kết mạc mắt hạch
Odds ratio,Tỷ suất chênh
Oedema,Phù nề
Oesophageal manometry,Đo áp lực co bóp thực quản
Oesophageal varices,Giãn tĩnh mạch thực quản
Oesophagogastroduodenoscopy (OGD),Nội soi đường tiêu hóa trên/nội soi dạ dày-thực quản
Oesophagus,Thực quản
Of choice,Lựa chọn
Of hepatitis A,Viêm gan A
Of new onset,Khởi phát mới
Of undetermined origin,Nguồn gốc chưa xác định
Of unknown aetiology,Không rõ căn nguyên
Of unknown origin,Không rõ căn nguyên
Older adults,Người cao tuổi
Oliguria,Thiểu niệu
On a ventilator,Thở máy
On air,Thở khí trời
On chest X-ray,Trên phim X-quang ngực
On room air,Thở khí phòng
On the CXR,Trên phim X-quang ngực
On the first day,Vào ngày đầu tiên
Once daily,Mỗi ngày một lần
Oncotic,Khối u
Onset,Khởi phát
Onycholysis,Ly móng
Opacification,Mờ đục
Open-label randomised study,Nghiên cứu ngẫu nhiên nhãn mở
Ophthalmic division of the trigeminal nerve,Nhánh mắt dây thần kinh sinh ba
Ophthalmological examination,Khám nhãn khoa
Ophthalmologist,Bác sĩ chuyên khoa mắt
Opportunistic,Cơ hội
Optic neuritis,Viêm thần kinh thị giác
Oral,Đường uống
Oral contraceptive,Thuốc tránh thai đường uống
Oral hairy leukoplakia,Bạch sản miệng dạng lông
Oral inoculation,Thuốc chủng ngừa dạng uống
Oral mucosa,Niêm mạc miệng
Orally,Đường uống
Organ failure,Suy phủ tạng
Organ involvement,Liên quan tới nội tạng
Organ transplantation,Ghép tạng
Organic cause,Nguyên nhân thực thể
Organism(s),Vi sinh vật
Oriental rat flea,Bọ chét chuột phương đông
Osler’s nodes,Nốt Osler
Osmotic fragility test,Xét nghiệm sức bền thẩm thấu
Osteoarthritis,Thoái hóa khớp
Osteoblast,Tế bào tạo xương
Osteoclast,Tế bào hủy xương
Osteomalacia,Chứng nhuyễn xương
Osteopenia,Chứng thiểu xương
Osteophyte,Gai xương
Osteoporosis,Chứng loãng xương
Osteoporosis,Loãng xương
Ostia,Lỗ xuất phát (mạch vành)
Outbreaks,Bùng phát
Outcome (of treatment),Kết quả (điều trị)
Outdoor,Ngoài trời
Outgrowths,Phát triển tự nhiên
Outpatient,Bệnh nhân ngoại trú
Outpatient based,Dựa trên cơ sở ngoại trú
Outpatient care,Chăm sóc ngoại trú
Outpatient treatment,Điều trị ngoại trú
Outpatients,Các bệnh nhân ngoại trú
Ovarian follicle,Nang buồng trứng
Ovarian torsion,Xoắn buồng trứng
Over-the-counter medications,Thuốc không kê đơn
Ovulation,Rụng trứng
Oxygen requirements,Nhu cầu oxy
Oxygen saturation,Bão hoà oxy
Oxygenation,Oxy hóa
Oxygen-diffusing capacity,Khả năng khuếch tán oxy
P2y12 receptor inhibitor,Chất ức chế thụ thể p2y12
Pacemaker,Máy tạo nhịp tim
Pack year,Bao năm
Packed red blood cells,Hồng cầu lắng
Paediatric,Nhi khoa
Paediatrician,Bác sĩ nhi khoa
Palate,Khẩu vị/vòm miệng/khẩu cái
Pallor,Xanh tái
Palmar erythema,Bàn tay son
Palpable,Có thể sờ thấy
Palpable lymph node,Hạch bạch huyết có thể sờ thấy
Palpitations,Đánh trống ngực
Pancreas,Tuyến tụy
Pancreas tail,Đuôi tụy
Pancreatic head,Đầu tuyến tụy
Pancreatic malignancy,Khối u tụy ác tính
Pancreatic pseudocyst,Nang giả tụy
Pancytopenia,Giảm ba dòng
Pandemics,Bệnh dịch
Papillary,Dạng nhú
Papilloedema,Phù gai thị
Paraclinical,Cận lâm sàng
Paracoccidioidomycosis,Bệnh nấm blatomyces nam mỹ
Paraesthesia,Dị cảm
Paralysis of cranial nerves,Liệt dây thần kinh sọ
Parapneumonic,Cạnh phổi
Parasitaemia,Bệnh ký sinh trùng trong máu
Parasite,Ký sinh trùng
Paratracheal,Cạnh khí quản
Parenteral,"Không qua đường tiêu hóa, đường tiêm (thuốc)"
Parenteral nutrition,Nuôi dưỡng tĩnh mạch (ngoài đường tiêu hóa)
Parietal cell,Tế bào thành
Parkinson’s disease,Bệnh parkinson
Paroxysmal nocturnal haemoglobinuria,Huyết sắc tố niệu kịch phát ban đêm
Pass in equipment,Chuyển thiết bị vào
Pass out waste,Chuyển chất thải ra
Past medical history,Tiền sử
Patches,Miếng dán
Patent processus vaginalis,Còn tồn tại ống phúc tinh mạc
Pathogen,Mầm bệnh
Pathogenesis,Sinh bệnh học
Pathognomonic,Đặc trưng bệnh
Pathology,Bệnh học
Pathophysical,Sinh lý bệnh
Pathophysical mechanisms,Cơ chế sinh lý bệnh học
Patient leaflet,Tờ thông tin cho bệnh nhân
Pattern,Quy luật
"Pedal oedema, pedal edema",Phù bàn chân
Peer review,Bình duyệt
Pelvic girdle,Cánh (xương) chậu
Pelvic peritoneum,Phúc mạc chậu
Pelvis,Xương chậu
Pemphigus,Bệnh pemphigus
Pemphigus foliaceus,Bệnh pemphigus vảy lá
PEP,Điều trị dự phòng phơi nhiễm
Peptic ulcer disease,Viêm loét dạ dày
Peptic ulcer disease,Loét đường tiêu hóa
Percutaneous coronary intervention (PCI),Can thiệp mạch vành qua da
Percutaneous transmission,Lây nhiễm qua da
Perforated ulcer,Loét thủng
Peri-ampullary neoplasm,U quanh bóng vater
Pericardial friction rub,Tiếng cọ ngoại tâm mạc
Pericardial rub,Tiếng cọ ngoại tâm mạc
Pericardial space,Khoang ngoại tâm mạc
Pericardiocentesis,Chọc màng ngoài tim
Pericarditis,Viêm màng ngoài tim
Perinatal exposure,Phơi nhiễm chu sinh
Perineal,Đáy chậu
Periodic,Định kỳ
Periodic acid-schiff,Kỹ thuật nhuộm pas
Perioperative complication,Biến chứng chu phẫu
Peripheral blood smear,Phết máu ngoại vi
Peripheral nervous system,Hệ thần kinh ngoại biên
Peripheral neuropathy,Bệnh lý thần kinh ngoại biên
Peripheral smear,Phết ngoại vi
Peripheral vascular disease,Bệnh lý mạch máu ngoại biên
Periportal,Quanh tĩnh mạch cửa
Peritonitis,Viêm phúc mạc
Persistent,"Dai dẳng, ổn định"
Persistent diarrhoea,Tiêu chảy kéo dài
Personal protective equipment,Thiết bị bảo hộ cá nhân
Personality change,Thay đổi tính cách
Petechail spotting,Xuất huyết dạng chấm
Petechiae,Chấm xuất huyết
Petechial rash,Ban xuất huyết
Petroleum jelly,Chất sáp từ dầu
"Phagocytic cell, phagocyte","Tế bào thực bào, thực bào"
Pharyngitis,Viêm họng
Pharynx,"Hầu, họng"
Phenotyping,Phân loại kiểu hình
Phosphate-binding medications,Thuốc gắn kết photphat
Photophobia,Chứng sợ ánh sáng
Physical examination,Khám lâm sàng
Physical findings,Tìm các triệu chứng thực thể
Physiological tolerance,Dung nạp sinh lý
Pica,Dị thực
Pinpoint pupils,Đồng tử co nhỏ như đầu đinh ghim
Piriform sinus,Xoang lê
Pitting oedema,Phù mềm
Pituitary mass,U tuyến yên
PIV,Đo đạc vận tốc bằng hình ảnh hạt chuyển động
Plain abdominal radiograph,Chụp x-quang bụng không chuẩn bị
Plain abdominal X-ray,X-quang bụng không sửa soạn
Plantar refexe,Phản xạ gan bàn chân
Plaque reduction neutralisation test,Xét nghiệm trung hòa giảm mảng bám
Plasma cell,Bào tương
Plasma exchange,Thay huyết tương
Plasma expander,Thuốc tăng thể tích huyết tương
Plasmapheresis,Lọc huyết tương
Platelet count,Số lượng tiểu cầu
Platelets,Tiểu cầu
Pleural,Màng phổi
Pleural decortication,Bóc tách màng phổi
Pleural effusion,Tràn dịch màng phổi
Pleural space,Khoang màng phổi
Pleuritic chest pain,Đau ngực do viêm màng phổi
Pleuritic pain,Đau do viêm màng phổi
Pleuritis,Viêm màng phổi
PMN,Bạch cầu đa nhân trung tính
Pneumatosis,Chứng trướng hơi
Pneumococcal pneumonia,Viêm phổi do phế cầu khuẩn
Pneumocystis pneumonia (PCP),Viêm phổi do nhiễm bào tử pneumocystis
Pneumomediastinum,Tràn khí trung thất
Pneumonia,Viêm phổi
Pneumonia severity index,Chỉ số độ nặng viêm phổi
Pneumonia severity index (PSI),Chỉ số độ nặng viêm phổi
Pneumonia-like syndrome,Hội chứng giống viêm phổi
Pneumonic plague,Bệnh dịch hạch thể phổi
Pneumothorax,Tràn khí màng phổi
Point-of-care test,Xét nghiệm nhanh đầu giường
Poisoning,Ngộ độc
Poliomyelitis,Sốt bại liệt
Polyarteritis nodosa,Viêm nút quang các động mạch
Polyarthritis,Viêm đa khớp
Polycystic kidney disease (PKD),Bệnh thận đa nang
Polymerase chain reaction (PCR),Phản ứng khuếch đại chuỗi gen
Polymorphonuclear (PMN),"Đa nhân, nhân đa dạng"
Polyp,Nhiều
Pons,Cầu não
Poor exercise tolerance,Dung nạp vận động kém
Poor outcome,Diễn biến lâm sàng xấu
Poor skin turgor,Dấu véo da mất chậm
Portal vein,Tĩnh mạch cửa
Position statement,Tuyên bố tình trạng dịch
Positive end-expiratory pressure,Áp suất dương cuối thì thở ra
Positive hiv status,Tình trạng hiv dương tính
Positive predictive value,Giá trị dự đoán dương tính
Positron emission tomography (PET),Chụp xạ hình cắt lớp positron
Post take ward round,Buổi thăm buồng bệnh
Postcava,Tĩnh mạch chủ dưới
Posterior cervical lymphadenopathy,bệnh hạch bạch huyết cổ sau
Posterior descending artery,Động mạch liên thất sau
Posterior hole,Hố sau
Post-exposure,Sau phơi nhiễm
Post-exposure prophylaxis,Biện pháp dự phòng sau phơi nhiễm
Postictal confusion,Lú lẫn sau đột quỵ
Post-nasal drip,Chảy mũi sau
Potassium-rectifying current,Điện thế vận chuyển kali qua màng tế bào
PPE,Phương tiện bảo hộ cá nhân
Practical tips,Gợi ý thực hành
Precipitation,Kết tủa
Precipitins,"Chất kết tủa, kết tủa tố"
Predictor,Yếu tố dự đoán
Predisposition,Bẩm chất
Pre-eclampsia,Tiền sản giật
Pre-existing,Có trước đó
Pre-exposure,Trước phơi nhiễm
Pre-exposure prophylaxis,Biện pháp dự phòng trước phơi nhiễm
Pregnancy,Mang thai
Pregnant women,Phụ nữ mang thai
Pre-icteric,Trước vàng da
Preload,Tiền gánh
Pre-renal azotaemia,Ni tơ máu trước thận
Preseptal cellulitis,Viêm mô tế bào quanh ổ mắt
Preservative-coated tube,Ống phủ lớp bảo quản
Pressors,Gan ép
Presumptive diagnosis,Chẩn đoán giả định
Prevalence,Tỷ suất hiện mắc
Prevalence,Tỷ lệ lưu hành bệnh or tỷ lệ bệnh
Prevention,Phòng ngừa
Primary atypical pneumonia,Viêm phổi không điển hình nguyên phát
Primary biliary cirrhosis,Xơ gan ứ mật nguyên phát
Primary care,Chăm sóc ban đầu
Primary prevention,Phòng ngừa ban đầu
Primary sclerosing cholangitis,Viêm xơ đường mật nguyên phát
Primary ulcer,Loét sơ cấp
Primary viral pneumonia,Viêm phổi vi-rút nguyên phát
Probable case,Ca bệnh nghi ngờ cao
Procedure,Thủ thuật
Prodrug,Tiền chất
Progenitor cell,Tế bào gốc
Pro-inflammatory mediator,Chất trung gian tiền viêm
Projectile vomiting,Nôn vọt
Prolonged,Kéo dài
Prolonged fullness,No lâu
Prophylaxis,Biện pháp dự phòng
Prospective incidence study,Nghiên cứu tỷ suất hiện mắc tiền cứu
Prostate,Tuyến tiền liệt
Prostate enlargement,Phì đại tuyến tiền liệt
Prostatic secretion,Chất tiết của tuyến tiền liệt
"Prostatitc adenocarcinoma, gleason","Carinom tuyến, gleason của tuyến tiền liệt"
Prosthetic valve,Van nhân tạo
Prostration,Mệt lử
Proteins,Protein
Proteinuria,Protein niệu
Prothrombin time,Thời gian prothrombin
"Proton-pump inhibitor, proton pump inhibitor",Chất ức chế bơm proton
Provisional diagnosis,Chẩn đoán sơ bộ
Proximal,Gần
Proximal muscles,Cơ đùi- cánh tay
Proximal part,Đoạn gần
Pruritic,Ngứa
Pseudoaneurysm,Giả phình mạch
Pseudomembrance,Giả mạc
Pseudomembranous colitis,Viêm đại tràng giả mạc
Pseudotumor cerebri,U giả ở não
Psittacosis,Sốt vẹt
Psoas abscess,Áp xe cơ thắt lưng
Psychotic disorders,Rối loạn tâm thần
Public health,Y tế công cộng
Pulmonary,Phổi
Pulmonary circulation,Tuần hoàn phổi
"Pulmonary edema, pulmonary oedema",Phù phổi
Pulmonary embolism,Thuyên tắc phổi
Pulmonary embolus,Thuyên tắc động mạch phổi
Pulmonary field,Phế trường
Pulmonary vein (PV),Tĩnh mạch phổi
Pulse,"Mạch, xung"
Pulse oximetry,Đầu đo bão hòa oxy qua da
Pulse-temperature dissociation,Mạch nhiệt phân ly
Pupillary abnormalities,Bất thường đồng tử
Pure red cell aplasia,Chứng bất sản hồng cầu đơn thuần
Purpura fulminans,Ban xuất huyết tối cấp
Purulent discharge,Tháo mủ
Pyelonephritis,Viêm thận bể thận
Pylorius,Môn vị
Pyonephrosis,Viêm thận bể thận ứ mủ
Pyopneumothorax,Tràn mủ khí phế mạc
Pyriform sinus,Xoang lê
Pyropoikilocytosis,Bệnh pyropoikilocytosis
Q fever,Sốt Q
Quasi-randomised,Gần ngẫu nhiên
Questionnaire,Bảng câu hỏi
Quick tips,Mẹo nhanh
Radial artery puncture,Chích động mạch quay
Radiation,Phát xạ
Radiation exposure,Phơi nhiễm tia phóng xạ
Radio-contrast,Cản quang
Radiographical,Chụp X-quang
Radiographically,Bằng chụp X-quang
Radiography,Chụp x-quang
Radioimmunoassay,Kĩ thuật miễn dịch phóng xạ
Radiolucent calculi,Sỏi không cản quang
Radio-opaque calculi,Sỏi cản quang
Radiotherapy,Xạ trị
Raised plaques,Tăng mảng bám
Rales,Ran
Randomised,Ngẫu nhiên
Randomised control trial,Thử nghiệm ngẫu nhiên có đối chứng
Range of movement,Phạm vi chuyển động
Rapid antigen detection test,Xét nghiệm phát hiện kháng nguyên nhanh
Rapid ventricular response,Nhịp nhanh thất
Rapidly fatal sepsis,Nhiễm khuẩn huyết tử vong nhanh
Rash,Phát ban
RBC (red blood cell),RBC (tế bào hồng cầu)
Rbc count,Số lượng hồng cầu
Reactive hydrocele,Tràn dịch tinh mạc phản ứng
Rebound tenderness,Nhạy cảm đau dội ngược
Recanalisation of the vessels,Tái thông mạch máu
Recombinant,Tái tổ hợp
Recombinant immunoblot assay,Xét nghiệm thấm thấu miễn dịch tái tổ hợp
Recombinant immunoblot assay,Xét nghiệm thấm thấu miễn dịch tái tổ hợp
Recommendation,Khuyến cáo
Recovery,Khôi phục
Rectal,Trực tràng
Rectal fistula,Lỗ rò trực tràng
Rectostomy,Mở trực tràng
Rectus muscle sheaths,Bao cơ thẳng bụng
Recurrence,Sự tái phát
Recurrent,Tái phát
Recurrent aphthous stomatitis,Viêm miệng áp-tơ tái phát
Recurrent infection,Nhiễm trùng tái phát
Red cell aplasia,Chứng bất sản hồng cầu
Red cell width,Độ rộng hồng cầu
Red eyes,Mắt đỏ
Redness,Tấy đỏ
Reduced stream,Giảm dòng
Reduced vision,Thị lực giảm
